index,date,hour,Category,District,count,weather,dayoff
288,2019-01-03,14,5,8,1,-2.7375000000000003,1
289,2019-01-03,14,5,9,2,-2.7375000000000003,1
290,2019-01-03,14,5,14,1,-2.7375000000000003,1
291,2019-01-03,14,5,15,1,-2.7375000000000003,1
292,2019-01-03,15,2,8,2,-2.7375000000000003,1
293,2019-01-03,15,2,15,1,-2.7375000000000003,1
294,2019-01-03,15,4,8,1,-2.7375000000000003,1
295,2019-01-03,15,5,7,1,-2.7375000000000003,1
296,2019-01-03,15,5,8,2,-2.7375000000000003,1
297,2019-01-03,15,5,9,1,-2.7375000000000003,1
298,2019-01-03,15,5,12,1,-2.7375000000000003,1
299,2019-01-03,16,2,0,1,-2.7375000000000003,1
300,2019-01-03,16,2,6,1,-2.7375000000000003,1
301,2019-01-03,16,2,9,2,-2.7375000000000003,1
302,2019-01-03,16,4,0,1,-2.7375000000000003,1
303,2019-01-03,16,4,1,1,-2.7375000000000003,1
304,2019-01-03,16,5,8,2,-2.7375000000000003,1
305,2019-01-03,16,5,10,1,-2.7375000000000003,1
306,2019-01-03,16,5,11,1,-2.7375000000000003,1
307,2019-01-03,16,5,15,1,-2.7375000000000003,1
308,2019-01-03,17,2,6,1,-2.7375000000000003,1
309,2019-01-03,17,2,14,1,-2.7375000000000003,1
310,2019-01-03,17,4,9,1,-2.7375000000000003,1
311,2019-01-03,17,5,5,1,-2.7375000000000003,1
312,2019-01-03,18,2,5,1,-2.7375000000000003,1
313,2019-01-03,18,2,14,1,-2.7375000000000003,1
314,2019-01-03,18,4,1,2,-2.7375000000000003,1
315,2019-01-03,18,4,12,2,-2.7375000000000003,1
316,2019-01-03,18,5,12,4,-2.7375000000000003,1
317,2019-01-03,18,5,16,1,-2.7375000000000003,1
318,2019-01-03,19,2,14,1,-2.7375000000000003,1
319,2019-01-03,19,5,3,1,-2.7375000000000003,1
320,2019-01-03,19,5,11,2,-2.7375000000000003,1
321,2019-01-03,19,5,12,1,-2.7375000000000003,1
322,2019-01-03,20,2,5,1,-2.7375000000000003,1
323,2019-01-03,20,2,11,1,-2.7375000000000003,1
324,2019-01-03,20,4,8,2,-2.7375000000000003,1
325,2019-01-03,20,4,14,1,-2.7375000000000003,1
326,2019-01-03,20,5,0,1,-2.7375000000000003,1
327,2019-01-03,21,1,0,1,-2.7375000000000003,1
328,2019-01-03,21,2,7,2,-2.7375000000000003,1
329,2019-01-03,21,2,11,1,-2.7375000000000003,1
330,2019-01-03,21,2,14,2,-2.7375000000000003,1
331,2019-01-03,21,4,7,2,-2.7375000000000003,1
332,2019-01-03,21,5,7,1,-2.7375000000000003,1
333,2019-01-03,21,5,9,1,-2.7375000000000003,1
334,2019-01-03,22,2,9,2,-2.7375000000000003,1
335,2019-01-03,22,4,7,2,-2.7375000000000003,1
336,2019-01-03,22,4,12,1,-2.7375000000000003,1
337,2019-01-03,22,5,7,1,-2.7375000000000003,1
338,2019-01-03,22,5,9,1,-2.7375000000000003,1
339,2019-01-03,22,5,14,2,-2.7375000000000003,1
340,2019-01-03,23,1,12,1,-2.7375000000000003,1
341,2019-01-03,23,2,6,1,-2.7375000000000003,1
342,2019-01-03,23,2,13,1,-2.7375000000000003,1
343,2019-01-03,23,2,14,3,-2.7375000000000003,1
344,2019-01-03,23,4,1,1,-2.7375000000000003,1
345,2019-01-03,23,4,7,1,-2.7375000000000003,1
346,2019-01-03,23,5,13,1,-2.7375000000000003,1
347,2019-01-04,1,5,4,1,-5.9125000000000005,1
348,2019-01-04,2,5,11,2,-5.9125000000000005,1
349,2019-01-04,4,2,8,1,-5.9125000000000005,1
350,2019-01-04,4,5,9,1,-5.9125000000000005,1
351,2019-01-04,6,5,8,1,-5.9125000000000005,1
352,2019-01-04,7,2,0,1,-5.9125000000000005,1
353,2019-01-04,7,5,0,1,-5.9125000000000005,1
354,2019-01-04,7,5,5,1,-5.9125000000000005,1
355,2019-01-04,8,2,3,1,-5.9125000000000005,1
356,2019-01-04,8,2,9,2,-5.9125000000000005,1
357,2019-01-04,8,5,5,1,-5.9125000000000005,1
358,2019-01-04,9,2,10,1,-5.9125000000000005,1
359,2019-01-04,9,4,5,1,-5.9125000000000005,1
360,2019-01-04,9,4,11,1,-5.9125000000000005,1
361,2019-01-04,10,2,0,2,-5.9125000000000005,1
362,2019-01-04,10,2,1,1,-5.9125000000000005,1
363,2019-01-04,10,2,4,2,-5.9125000000000005,1
364,2019-01-04,10,2,5,1,-5.9125000000000005,1
365,2019-01-04,10,2,9,1,-5.9125000000000005,1
366,2019-01-04,10,2,11,1,-5.9125000000000005,1
367,2019-01-04,10,2,14,1,-5.9125000000000005,1
368,2019-01-04,10,4,9,1,-5.9125000000000005,1
